 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
4142,60.379,4467.376,1247.940,4467.376,1247.940,15396.691,100,2040
4143,309.443,4600.409,1259.682,4600.409,1259.682,78908.043,100,10455
4144,37.737,5654.121,1245.330,5654.121,1245.330,9622.932,100,1275
4145,52.832,5747.841,1245.879,5747.841,1245.879,13472.105,100,1785
4146,437.749,6348.191,1257.910,6348.009,1258.073,109701.425,98.276,14535
4147,52.832,7050.824,1245.879,7050.824,1245.879,13472.105,100,1785
4148,30.190,719.780,1247.253,719.780,1247.253,7698.346,100,1020
4149,52.832,3467.622,1249.019,3467.622,1249.019,13472.105,100,1785
4150,15.095,3755.495,1245.879,3755.495,1245.879,3849.173,100,510
4151,52.832,4089.286,1247.841,4089.286,1247.841,13472.105,100,1785
4152,166.043,4380.120,1250.250,4380.120,1250.250,42340.901,100,5610
4153,90.569,5567.995,1252.289,5567.995,1252.289,23095.037,100,3060
4154,324.538,5959.973,1254.824,5959.973,1254.824,82757.215,100,10965
4155,45.284,5983.516,1248.626,5983.516,1248.626,11547.518,100,1530
4156,30.190,6645.604,1247.253,6645.604,1247.253,7698.346,100,1020
4157,52.832,6855.769,1248.626,6855.769,1248.626,13472.105,100,1785
4158,143.401,6998.916,1253.976,6998.916,1253.976,36567.142,100,4845
4159,98.116,7795.964,1253.064,7795.964,1253.064,25019.623,100,3315
4160,45.284,7824.176,1248.626,7824.176,1248.626,11547.518,100,1530
4161,30.190,7940.934,1247.253,7940.934,1247.253,7698.346,100,1020
4162,22.642,1920.788,1250.458,1920.788,1250.458,5773.759,100,765
4163,90.569,3183.379,1254.579,3183.379,1254.579,23095.037,100,3060
4164,60.379,4198.146,1252.060,4198.146,1252.060,15396.691,100,2040
4165,196.232,4345.309,1254.227,4345.309,1254.227,50039.246,100,6630
4166,37.737,4399.176,1250.275,4399.176,1250.275,9622.932,100,1275
4167,90.569,4434.753,1253.434,4434.753,1253.434,23095.037,100,3060
4168,173.590,4980.590,1254.479,4980.590,1254.479,44265.487,100,5865
4169,45.284,5531.136,1251.832,5531.136,1251.832,11547.518,100,1530
4170,30.190,6104.396,1250.000,6104.396,1250.000,7698.346,100,1020
4171,105.664,6306.907,1252.355,6306.907,1252.355,26944.210,100,3570
4172,37.737,6718.956,1249.725,6718.956,1249.725,9622.932,100,1275
4173,22.642,6730.311,1249.542,6730.311,1249.542,5773.759,100,765
4174,22.642,7068.223,1249.542,7068.223,1249.542,5773.759,100,765
4175,90.569,7206.731,1253.434,7206.731,1253.434,23095.037,100,3060
4176,52.832,7888.736,1251.374,7888.736,1251.374,13472.105,100,1785
4177,30.190,1769.231,1252.747,1769.231,1252.747,7698.346,100,1020
4178,60.379,1942.308,1255.495,1942.308,1255.495,15396.691,100,2040
4179,30.190,3082.418,1252.747,3082.418,1252.747,7698.346,100,1020
4180,98.116,3689.666,1255.600,3689.666,1255.600,25019.623,100,3315
4181,135.853,3708.181,1256.716,3708.181,1256.716,34642.555,100,4590
4182,22.642,3915.293,1253.205,3915.293,1253.205,5773.759,100,765
4183,60.379,4097.871,1254.464,4097.871,1254.464,15396.691,100,2040
4184,45.284,4138.278,1253.663,4138.278,1253.663,11547.518,100,1530
4185,158.495,4518.250,1257.784,4518.250,1257.784,40416.314,100,5355
4186,45.284,4553.571,1252.747,4553.571,1252.747,11547.518,100,1530
4187,52.832,5093.995,1254.121,5093.995,1254.121,13472.105,100,1785
4188,37.737,6156.319,1253.571,6156.319,1253.571,9622.932,100,1275
4189,67.927,7059.982,1254.121,7059.982,1254.121,17321.278,100,2295
