x,y
3300.481,306.662
4030.678,305.403
4190.149,306.319
4414.56,305.769
5297.619,305.861
5507.418,304.67
5528.846,304.945
5587.912,306.319
5603.48,305.861
5728.785,308.15
6023.352,304.945
6462.163,307.318
6699.534,313.605
641.484,309.851
1666.209,306.319
3016.484,307.692
3396.978,307.692
3807.496,309.851
4010.989,309.066
4158.812,314.772
5078.297,307.692
5256.868,307.692
6515.797,314.045
7163.462,310.44
7386.538,307.967
7477.433,309.066
186.966,313.339
253.022,311.264
343.799,312.206
477.433,313.383
491.758,311.813
842.033,310.44
1692.308,309.066
3281.136,311.355
4843.347,318.98
5650.069,312.157
5864.011,310.44
6388.736,311.813
6778.846,311.028
6914.835,311.813
7455.809,323.271
307.104,312.991
1241.758,314.56
1493.132,315.934
1643.315,313.645
2160.465,317.308
3664.011,313.462
4448.391,314.56
4501.374,313.187
4733.516,313.187
4750.916,314.103
4811.47,314.217
5017.857,315.345
5072.802,315.934
5576.923,313.187
5752.473,315.11
5929.511,324.296
6206.685,318.956
6895.408,315.345
2356.227,317.766
4146.291,320.513
4238.187,315.659
4397.428,335.24
4542.79,322.491
4956.319,316.758
5150.765,322.579
5337.912,315.934
5997.627,318.806
6321.276,319.444
6429.945,314.56
7502.943,321.821
283.425,318.223
717.622,320.055
1716.117,320.513
3108.974,322.802
3315.934,320.055
4283.425,318.223
4424.873,324.493
4617.102,319.712
5358.242,323.077
5508.7,321.429
5662.828,321.323
5739.698,322.115
6464.036,326.923
6615.385,320.055
6684.94,322.552
275.755,323.146
332.143,329.67
1229.396,321.429
1387.363,321.429
1423.077,321.429
1876.374,321.429
2503.968,326.313
2802.198,322.802
4736.538,322.253
5431.471,342.699
5463.335,326.183
5623.589,332.603
6940.934,321.429
7372.711,322.344
7406.593,322.802
355.769,328.297
372.887,333.474
3645.604,324.176
4831.93,337.513
5096.154,325.549
5276.099,322.802
5305.861,326.007
5575.549,328.846
5950.092,326.007
6500.874,326.049
6532.967,324.176
7265.11,324.765
1181.319,326.923
1198.718,328.755
2291.209,326.923
3931.913,344.288
4439.835,327.747
4565.934,328.297
4870.879,328.297
6349.952,332.822
6428.704,335.032
7122.024,330.815
3842.818,331.044
4204.212,330.586
4285.714,331.044
4334.02,334.478
4807.186,333.213
