 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
6397,71.589,2283.226,3103.598,2283.446,3103.648,3281.160,100.000,275
6398,811.341,2527.763,3129.352,2528.224,3130.511,47499.271,100.000,3981
6399,47.726,2525.020,3101.871,2525.237,3102.104,2565.271,100.000,215
6400,47.726,5119.123,3101.871,5119.224,3101.917,2255.052,100.000,189
6401,47.726,6590.612,3101.871,6590.639,3101.790,1527.231,100.000,128
6402,35.794,6915.883,3101.295,6915.947,3101.167,1288.601,100.000,108
6403,47.726,8117.368,3101.871,8117.659,3101.774,2123.806,100.000,178
6404,47.726,728.836,3105.325,728.760,3105.032,1897.107,100.000,159
6405,59.657,1036.605,3106.361,1036.650,3106.393,2374.367,100.000,199
6406,238.630,1613.802,3114.306,1612.915,3114.698,11060.493,100.000,927
6407,978.382,1998.086,3133.801,1997.819,3133.090,52701.402,98.780,4417
6408,47.726,2119.151,3104.462,2119.413,3104.470,2362.435,100.000,198
6409,47.726,2417.939,3105.325,2417.345,3105.056,2147.669,100.000,180
6410,23.863,3167.501,3103.598,3167.430,3103.598,1169.286,100.000,98
6411,47.726,3530.192,3105.325,3530.151,3105.345,2052.217,100.000,172
6412,59.657,3656.270,3107.052,3656.509,3107.121,2410.161,100.000,202
6413,59.657,4009.980,3106.361,4010.154,3106.253,2887.421,100.000,242
6414,632.369,4316.804,3118.458,4316.886,3118.330,32620.700,100.000,2734
6415,11.931,4906.690,3103.598,4906.690,3103.598,465.328,100.000,39
6416,465.328,5030.333,3118.301,5029.949,3118.029,21202.262,100.000,1777
6417,47.726,5803.055,3105.325,5802.746,3105.474,1801.655,100.000,151
6418,59.657,8092.843,3107.743,8092.880,3107.977,2672.654,100.000,224
6419,59.657,836.952,3108.434,837.055,3108.485,2243.121,100.000,188
6420,59.657,1332.285,3108.434,1331.923,3108.383,2756.175,100.000,231
6421,71.589,3951.604,3110.506,3951.632,3109.936,3615.242,100.000,303
6422,214.767,4025.485,3115.880,4025.427,3115.185,12217.848,100.000,1024
6423,155.109,4355.612,3113.695,4355.213,3113.440,7516.840,100.000,630
6424,35.794,4435.768,3109.355,4435.821,3109.596,1539.163,100.000,129
6425,155.109,6774.083,3112.101,6774.158,3111.952,7099.238,100.000,595
6426,23.863,6827.225,3108.779,6827.225,3109.084,1217.012,100.000,102
6427,95.452,6861.767,3112.234,6861.598,3112.225,4629.419,100.000,388
6428,202.835,7201.091,3115.992,7201.216,3115.547,9533.262,100.000,799
6429,882.930,8266.692,3130.298,8266.068,3129.699,50315.103,100.000,4217
6430,59.657,1452.491,3113.961,1452.657,3113.753,2982.873,100.000,250
6431,167.041,1957.544,3115.194,1957.576,3115.330,8757.715,100.000,734
6432,35.794,3016.092,3111.658,3016.439,3111.668,1384.053,100.000,116
6433,47.726,3775.440,3112.234,3775.534,3112.446,1741.998,100.000,146
6434,71.589,3790.984,3112.234,3791.115,3111.880,3149.914,100.000,264
6435,23.863,3827.253,3110.506,3827.707,3110.506,906.793,100.000,76
6436,35.794,4231.970,3111.658,4232.177,3111.640,1527.231,100.000,128
6437,11.931,4661.442,3110.506,4661.442,3110.506,429.534,100.000,36
6438,47.726,6846.223,3112.234,6845.965,3112.434,2159.600,100.000,181
6439,47.726,8491.285,3113.961,8491.414,3113.832,2243.121,100.000,188
6440,71.589,351.177,3116.839,351.198,3117.003,2899.353,100.000,243
6441,369.876,1352.208,3127.220,1352.048,3127.118,17933.033,100.000,1503
6442,47.726,1367.863,3115.688,1367.643,3115.373,2159.600,100.000,181
6443,47.726,1533.664,3115.688,1533.330,3115.409,2219.258,100.000,186
6444,107.383,1747.633,3118.950,1747.315,3119.362,4402.721,100.000,369
6445,59.657,1935.388,3115.342,1935.435,3115.345,2947.079,100.000,247
6446,489.191,2149.986,3122.891,2149.212,3122.856,26201.557,100.000,2196
6447,47.726,4158.856,3115.688,4158.877,3115.737,2947.079,100.000,247
6448,560.780,4484.837,3131.599,4484.574,3132.040,33634.877,100.000,2819
6449,47.726,4784.066,3115.688,4784.485,3115.960,2803.901,100.000,235
6450,119.315,5122.232,3120.178,5121.962,3120.105,4856.117,100.000,407
